scope_type,scope_value,benchmark_family,jobs,machines,model_type,distribution,params,n_params,loglik,aic,bic,gof_test,gof_stat,gof_pvalue
file,la07,la,15,5,continuous_exploratory,norm,"[49.93333333333333, 22.058911023791623]",2,-338.4491386142166,680.8982772284332,685.5332534555058,KS_continuous,0.06565011190027792,0.8817958408370307
file,la07,la,15,5,continuous_exploratory,gamma,"[170.33927803884347, -237.9159598069129, 1.6899750452376647]",3,-338.30502777888444,682.6100555577689,689.5625198983778,KS_continuous,0.07397910880671477,0.7783925674884917
file,la07,la,15,5,continuous_exploratory,lognorm,"[0.07074418345744758, -262.08728100395285, 311.24143604390616]",3,-338.31168805744994,682.6233761148999,689.5758404555088,KS_continuous,0.07754794317277647,0.7282959243186409
file,la07,la,15,5,continuous_exploratory,expon,"[8.0, 41.93333333333333]",2,-355.20607916986734,714.4121583397347,719.0471345668072,KS_continuous,0.22061795421488917,0.0010964828693955653
file,la08,la,15,5,discrete,discrete_uniform_minmax,"{""low"": 5, ""high"": 98}",2,-340.74710867025027,685.4942173405005,690.1291935675731,chi2_uniform_minmax_bins10,12.329481481481483,0.19536552524453699
file,la08,la,15,5,discrete,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",0,-344.6339887600942,689.2679775201884,689.2679775201884,chi2_uniform_1_99_bins10,7.6466666666666665,0.5701077833049102
file,la08,la,15,5,discrete,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",0,-345.3877639491069,690.7755278982138,690.7755278982138,chi2_uniform_1_100_bins10,7.533333333333333,0.5817695222593386
file,la08,la,15,5,discrete,discrete_uniform_0_99,"{""low"": 0, ""high"": 99, ""fixed_support"": true}",0,-345.3877639491069,690.7755278982138,690.7755278982138,chi2_uniform_0_99_bins10,6.466666666666666,0.6924550289792663
file,la08,la,15,5,discrete,discrete_uniform_0_100,"{""low"": 0, ""high"": 100, ""fixed_support"": true}",0,-346.13403876309445,692.2680775261889,692.2680775261889,chi2_uniform_0_100_bins10,7.367030303030303,0.5989639391454551
file,la08,la,15,5,discrete,poisson,"{""mu"": 51.0}",1,-993.1422766263609,1988.2845532527217,1990.602041366258,,,
file,la08,la,15,5,continuous_exploratory,uniform,"[5.0, 93.0]",2,-339.94496198649426,683.8899239729885,688.5249002000611,KS_continuous,0.11311827956989245,0.2714576634691813
file,la08,la,15,5,continuous_exploratory,weibull_min,"[1.5158499629087974, 1.641428746121668, 54.34576733596959]",3,-359.8577539598082,725.7155079196164,732.6679722602253,KS_continuous,0.14972043909571758,0.06225372860302625
file,la08,la,15,5,continuous_exploratory,expon,"[5.0, 46.0]",2,-362.14810473668206,728.2962094733641,732.9311857004367,KS_continuous,0.2000316364548364,0.0041696344070555336
file,la08,la,15,5,continuous_exploratory,norm,"[51.0, 30.433753191700387]",2,-362.5868121034215,729.173624206843,733.8086004339156,KS_continuous,0.1278884178671375,0.15757780778055075
file,la08,la,15,5,continuous_exploratory,lognorm,"[7.255894740337518e-06, -4194298.9999999767, 4194349.999889565]",3,-362.5868340668202,731.1736681336404,738.1261324742493,KS_continuous,0.12788820192913658,0.15757914014360885
file,la08,la,15,5,continuous_exploratory,gamma,"[928.6018188244866, -877.6193175627795, 0.9999576661305127]",3,-362.6511600360892,731.3023200721784,738.2547844127873,KS_continuous,0.12668071210359444,0.1651708657962394
file,la09,la,15,5,discrete,discrete_uniform_minmax,"{""low"": 7, ""high"": 99}",2,-339.9449619864942,683.8899239729884,688.524900200061,chi2_uniform_minmax_bins10,5.131555555555556,0.8226926918396038
file,la09,la,15,5,discrete,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",0,-344.6339887600942,689.2679775201884,689.2679775201884,chi2_uniform_1_99_bins10,12.442666666666666,0.18948816831100354
file,la09,la,15,5,discrete,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",0,-345.3877639491069,690.7755278982138,690.7755278982138,chi2_uniform_1_100_bins10,12.600000000000001,0.18155663198089633
file,la09,la,15,5,discrete,discrete_uniform_0_99,"{""low"": 0, ""high"": 99, ""fixed_support"": true}",0,-345.3877639491069,690.7755278982138,690.7755278982138,chi2_uniform_0_99_bins10,16.6,0.05536105194182698
file,la09,la,15,5,discrete,discrete_uniform_0_100,"{""low"": 0, ""high"": 100, ""fixed_support"": true}",0,-346.13403876309445,692.2680775261889,692.2680775261889,chi2_uniform_0_100_bins10,13.36581818181818,0.1467398955693419
file,la09,la,15,5,discrete,poisson,"{""mu"": 56.84}",1,-736.6863813399475,1475.372762679895,1477.6902507934312,,,
file,la09,la,15,5,continuous_exploratory,uniform,"[7.0, 92.0]",2,-339.13414327867804,682.2682865573561,686.9032627844286,KS_continuous,0.11869565217391304,0.22287309072905892
file,la09,la,15,5,continuous_exploratory,weibull_min,"[5.183034377124638, -57.78077607168514, 124.91610188609846]",3,-349.7015123440156,705.4030246880312,712.3554890286401,KS_continuous,0.08119836976975281,0.6753694060146072
file,la09,la,15,5,continuous_exploratory,norm,"[56.84, 26.176854916764416]",2,-351.2860615065289,706.5721230130578,711.2070992401303,KS_continuous,0.07954832671666884,0.6994236205315121
file,la09,la,15,5,continuous_exploratory,lognorm,"[1.2481821701326513e-05, -2097144.9999981294, 2097201.8398347613]",3,-351.286189061031,708.572378122062,715.5248424626709,KS_continuous,0.07955073533369789,0.69938863189587
file,la09,la,15,5,continuous_exploratory,gamma,"[304.6198829083943, -404.5557591364309, 1.5146189154512708]",3,-351.6944740085517,709.3889480171034,716.3414123577123,KS_continuous,0.08695272105943203,0.5913386948260198
file,la09,la,15,5,continuous_exploratory,expon,"[7.0, 49.84]",2,-368.16134058593985,740.3226811718797,744.9576573989523,KS_continuous,0.24424260051546842,0.00020028321737146145
file,la10,la,15,5,discrete,discrete_uniform_minmax,"{""low"": 5, ""high"": 97}",2,-339.9449619864942,683.8899239729884,688.524900200061,chi2_uniform_minmax_bins10,3.6848888888888895,0.9309025511673681
file,la10,la,15,5,discrete,discrete_uniform_1_99,"{""low"": 1, ""high"": 99, ""fixed_support"": true}",0,-344.6339887600942,689.2679775201884,689.2679775201884,chi2_uniform_1_99_bins10,3.2026666666666666,0.9557147240275056
file,la10,la,15,5,discrete,discrete_uniform_1_100,"{""low"": 1, ""high"": 100, ""fixed_support"": true}",0,-345.3877639491069,690.7755278982138,690.7755278982138,chi2_uniform_1_100_bins10,3.2666666666666666,0.9527777136594193
file,la10,la,15,5,discrete,discrete_uniform_0_99,"{""low"": 0, ""high"": 99, ""fixed_support"": true}",0,-345.3877639491069,690.7755278982138,690.7755278982138,chi2_uniform_0_99_bins10,5.133333333333334,0.82253375045806
file,la10,la,15,5,discrete,discrete_uniform_0_100,"{""low"": 0, ""high"": 100, ""fixed_support"": true}",0,-346.13403876309445,692.2680775261889,692.2680775261889,chi2_uniform_0_100_bins10,3.449454545454545,0.943787405750492
file,la10,la,15,5,discrete,poisson,"{""mu"": 53.6}",1,-860.1206592896424,1722.2413185792848,1724.558806692821,,,
file,la10,la,15,5,continuous_exploratory,uniform,"[5.0, 92.0]",2,-339.13414327867804,682.2682865573561,686.9032627844286,KS_continuous,0.09318840579710153,0.5032313429900861
file,la10,la,15,5,continuous_exploratory,weibull_min,"[4.493885174939691, -53.55715988216354, 117.86972211564515]",3,-355.0503669943222,716.1007339886444,723.0531983292533,KS_continuous,0.09608277283406508,0.46432157381843187
file,la10,la,15,5,continuous_exploratory,norm,"[53.6, 28.127329533154523]",2,-356.6760163608536,717.3520327217072,721.9870089487798,KS_continuous,0.10674115997502098,0.33586396491938175
file,la10,la,15,5,continuous_exploratory,lognorm,"[9.58294477714877e-06, -2935094.2932597897, 2935147.8931250186]",3,-356.6760980602674,719.3521961205348,726.3046604611437,KS_continuous,0.10674201064141009,0.33585473591557025
